WIND,IND,RAIN,IND.1,T.MAX,IND.2,T.MIN,T.MIN.G,DAY,MONTH,YEAR
15.41,0,1.6,0.0,6.8,0.0,0.4,-2.4,1964,11,28
11.12,0,0.0,0.0,6.8,1.0,-0.9,-6.0,1964,11,30
12.42,4,0.0,0.0,7.8,0.0,2.2,-1.1,1964,12,1
15.04,0,0.7,0.0,10.3,1.0,-1.4,-6.1,1964,12,2
15.79,0,0.1,0.0,7.2,0.0,3.3,1.4,1964,12,3
9.54,0,1.4,0.0,10.7,0.0,2.1,-1.0,1964,12,4
16.42,0,0.4,0.0,12.1,0.0,1.1,-0.4,1964,12,5
19.38,0,11.4,0.0,12.7,0.0,7.8,7.8,1964,12,6
16.75,0,7.0,0.0,13.7,0.0,6.3,1.7,1964,12,7
20.88,0,15.5,0.0,12.9,0.0,4.8,2.6,1964,12,8
13.54,4,0.0,0.0,11.0,0.0,6.8,7.2,1964,12,9
7.17,0,0.0,0.0,8.2,0.0,0.2,-4.0,1964,12,10
14.0,0,11.8,0.0,13.3,1.0,-3.2,-7.9,1964,12,11
15.71,0,0.0,0.0,12.4,0.0,4.4,2.3,1964,12,13
8.87,0,0.0,0.0,5.1,0.0,0.1,-4.4,1964,12,14
7.83,0,6.7,0.0,9.0,1.0,-4.0,-8.3,1964,12,15
8.21,0,0.2,0.0,6.7,0.0,4.4,0.0,1964,12,17
3.21,0,0.0,0.0,4.4,0.0,1.9,-1.7,1964,12,18
6.29,0,0.5,0.0,7.1,0.0,0.8,-0.3,1964,12,19
10.21,4,0.0,0.0,7.4,0.0,1.8,-0.1,1964,12,20
14.37,0,0.3,0.0,7.1,0.0,3.2,-0.6,1964,12,21
15.04,4,0.0,2.0,7.0,0.0,5.3,3.0,1964,12,22
10.34,0,4.3,0.0,6.2,0.0,4.6,2.7,1964,12,23
10.17,0,0.0,0.0,5.6,0.0,1.1,-1.2,1964,12,24
10.79,4,0.0,0.0,5.0,1.0,-2.7,-5.7,1964,12,25
8.71,0,18.7,0.0,3.7,1.0,-2.6,-5.6,1964,12,26
10.37,0,2.8,0.0,4.2,1.0,-0.9,-2.2,1964,12,27
6.96,0,1.8,0.0,7.9,1.0,-3.6,-7.9,1964,12,28
20.3,0,3.4,0.0,5.6,0.0,5.0,3.9,1964,12,30
19.83,0,0.3,0.0,6.2,0.0,1.6,-0.4,1964,12,31
8.67,0,0.0,0.0,11.1,0.0,6.1,-2.2,1965,4,1
8.12,0,0.0,0.0,16.7,0.0,1.8,-3.2,1965,4,2
8.71,0,0.0,0.0,15.0,0.0,0.0,-4.3,1965,4,3
11.34,0,1.0,0.0,13.8,0.0,7.2,4.4,1965,4,4
4.88,0,1.4,0.0,10.7,0.0,6.4,2.7,1965,4,5
9.17,0,1.0,0.0,11.7,0.0,0.6,-3.3,1965,4,6
8.08,0,0.2,0.0,11.8,0.0,1.9,-2.2,1965,4,7
9.92,0,0.6,0.0,13.9,2.0,7.0,4.6,1965,4,8
12.17,0,10.2,0.0,13.9,0.0,2.9,-1.7,1965,4,9
18.0,0,0.9,0.0,12.2,0.0,6.6,6.8,1965,4,10
19.55,0,3.9,0.0,9.4,0.0,3.7,1.7,1965,4,11
18.66,0,0.6,0.0,12.1,0.0,4.4,1.9,1965,4,12
10.37,0,4.3,0.0,12.9,0.0,3.4,-0.1,1965,4,13
12.46,0,1.3,0.0,14.6,0.0,7.4,6.7,1965,4,14
15.34,0,0.1,0.0,14.4,0.0,10.6,9.7,1965,4,15
16.21,0,0.8,0.0,14.4,0.0,7.7,5.3,1965,4,16
27.08,0,1.0,0.0,13.9,0.0,10.1,9.8,1965,4,17
21.87,0,0.8,0.0,12.3,0.0,3.9,0.6,1965,4,18
20.38,0,0.1,0.0,11.7,0.0,0.7,-0.8,1965,4,19
8.04,0,0.0,0.0,8.9,0.0,1.7,-1.9,1965,4,20
7.5,4,0.0,0.0,10.1,1.0,-1.7,-6.1,1965,4,21
4.79,0,2.0,0.0,12.1,0.0,3.4,-2.9,1965,4,22
8.67,0,0.2,0.0,12.8,0.0,4.0,1.8,1965,4,23
21.5,0,2.8,0.0,12.3,0.0,5.4,2.2,1965,4,26
12.21,0,2.7,0.0,11.8,0.0,5.4,2.8,1965,4,27
8.33,0,0.3,0.0,10.3,0.0,5.4,4.6,1965,4,28
6.92,0,0.0,0.0,10.7,0.0,6.2,3.4,1965,4,29
10.25,0,0.0,0.0,12.2,0.0,7.2,3.3,1965,4,30
4.17,4,0.0,0.0,14.3,0.0,7.8,5.0,1965,6,1
1.83,0,0.0,0.0,16.0,0.0,2.2,-1.1,1965,6,2
3.79,4,0.0,0.0,18.8,0.0,4.8,3.7,1965,6,3
6.5,0,17.6,0.0,17.1,0.0,6.8,3.4,1965,6,4
3.46,0,1.5,0.0,15.4,0.0,10.6,10.0,1965,6,5
4.58,0,1.3,0.0,15.1,0.0,8.4,5.7,1965,6,6
2.5,0,0.0,0.0,16.9,0.0,7.6,4.4,1965,6,7
3.54,0,0.0,0.0,19.0,0.0,10.8,9.9,1965,6,9
4.42,0,1.3,0.0,19.6,0.0,6.8,3.9,1965,6,10
6.29,0,5.0,0.0,18.2,0.0,12.1,11.7,1965,6,11
5.46,0,0.2,0.0,20.6,0.0,11.6,9.4,1965,6,12
8.5,4,0.0,0.0,18.3,0.0,10.1,6.8,1965,6,13
7.17,0,8.6,0.0,21.2,0.0,9.0,6.2,1965,6,14
15.67,0,0.2,0.0,20.6,0.0,12.9,12.2,1965,6,15
11.17,0,3.3,0.0,18.8,0.0,11.2,9.4,1965,6,16
13.42,0,5.5,0.0,19.0,0.0,9.4,6.7,1965,6,17
24.21,0,0.4,0.0,18.4,0.0,11.2,11.6,1965,6,18
13.83,0,0.3,0.0,19.2,0.0,10.7,8.3,1965,6,19
13.46,0,10.0,0.0,20.9,0.0,12.1,11.7,1965,6,20
10.92,0,2.2,0.0,19.0,0.0,10.2,10.1,1965,6,22
21.04,0,1.4,0.0,19.0,0.0,12.4,10.7,1965,6,23
16.92,0,1.2,0.0,17.9,0.0,11.1,9.4,1965,6,24
15.12,0,1.0,0.0,18.3,0.0,14.1,13.4,1965,6,25
17.0,0,1.1,0.0,17.8,0.0,9.9,7.2,1965,6,26
8.83,4,0.0,0.0,17.1,0.0,9.0,4.4,1965,6,27
11.63,0,0.1,0.0,19.7,0.0,9.4,6.7,1965,6,28
4.12,0,0.2,0.0,19.8,0.0,13.8,13.7,1965,6,29
8.5,4,0.0,0.0,19.1,0.0,13.8,12.1,1965,6,30
21.79,0,0.8,0.0,9.1,0.0,4.4,2.0,1966,1,1
17.46,0,0.6,0.0,8.9,0.0,4.6,0.6,1966,1,2
7.83,0,0.9,0.0,7.2,0.0,1.2,-1.8,1966,1,3
15.46,0,5.1,0.0,12.8,1.0,-0.9,-3.9,1966,1,4
12.83,0,2.8,0.0,12.8,0.0,6.1,7.1,1966,1,5
10.96,0,1.6,0.0,12.9,0.0,7.9,3.9,1966,1,6
10.5,0,0.0,0.0,12.1,0.0,8.9,8.3,1966,1,7
12.5,0,0.0,0.0,11.1,0.0,7.0,6.1,1966,1,8
13.37,0,2.3,0.0,9.4,0.0,6.3,2.8,1966,1,9
19.21,0,27.8,0.0,7.4,0.0,4.6,3.9,1966,1,10
19.55,0,0.0,0.0,6.0,0.0,1.7,-1.3,1966,1,11
16.46,0,0.0,0.0,4.4,0.0,1.7,1.7,1966,1,12
12.29,0,0.0,0.0,3.9,0.0,2.8,1.0,1966,1,13
10.83,4,0.0,0.0,3.7,0.0,2.6,-2.1,1966,1,14
6.29,4,0.0,0.0,2.0,1.0,-2.0,-4.9,1966,1,15
4.71,0,3.5,0.0,1.9,1.0,-2.0,-1.1,1966,1,16
2.79,0,1.8,0.0,3.7,1.0,-1.1,-4.1,1966,1,17
8.5,4,0.0,0.0,3.3,0.0,0.0,-0.4,1966,1,18
14.33,4,0.0,0.0,3.1,1.0,-0.6,-1.7,1966,1,19
12.33,0,0.0,0.0,3.0,1.0,-0.4,0.0,1966,1,20
4.75,0,0.0,0.0,4.6,0.0,1.2,0.0,1966,1,21
8.54,0,0.3,0.0,5.1,0.0,1.7,0.0,1966,1,22
1.13,0,0.5,0.0,6.0,0.0,3.3,0.0,1966,1,23
8.08,0,13.0,0.0,6.7,0.0,2.8,0.0,1966,1,24
20.46,0,13.9,0.0,8.3,0.0,5.2,4.3,1966,1,25
19.08,0,7.4,0.0,8.7,0.0,5.9,5.8,1966,1,26
12.25,0,11.8,0.0,12.3,0.0,6.8,6.7,1966,1,27
17.46,0,0.2,0.0,13.3,0.0,6.7,5.9,1966,1,28
16.79,0,1.0,0.0,13.0,0.0,9.4,8.6,1966,1,29
14.33,4,0.0,0.0,11.1,0.0,7.0,3.7,1966,1,30
3.79,0,0.1,0.0,9.2,1.0,-0.7,-3.3,1966,1,31
13.75,0,2.8,0.0,10.6,0.0,5.0,0.6,1966,2,1
13.54,4,0.0,0.0,11.6,0.0,6.1,4.1,1966,2,2
10.96,0,4.3,0.0,13.8,0.0,6.7,0.4,1966,2,3
10.96,0,1.0,0.0,13.4,0.0,9.4,8.7,1966,2,4
19.33,0,2.9,0.0,12.0,0.0,8.8,6.2,1966,2,5
10.63,0,0.2,0.0,14.0,0.0,6.8,1.6,1966,2,6
8.04,0,8.8,0.0,9.6,0.0,6.1,3.2,1966,2,7
4.58,0,4.9,0.0,8.9,0.0,6.7,6.0,1966,2,8
6.13,0,1.6,0.0,7.3,0.0,4.9,3.9,1966,2,9
13.29,0,0.0,0.0,4.7,0.0,2.8,2.8,1966,2,10
11.42,0,2.9,0.0,4.6,0.0,2.4,1.7,1966,2,11
11.63,0,0.2,0.0,4.4,0.0,1.7,1.4,1966,2,13
12.42,0,6.7,0.0,6.4,0.0,1.1,-0.6,1966,2,14
16.46,0,16.8,0.0,5.7,0.0,0.6,-0.8,1966,2,15
10.96,4,0.0,0.0,6.0,0.0,2.4,0.6,1966,2,16
13.7,0,4.4,0.0,5.3,0.0,1.9,-0.7,1966,2,17
13.59,0,17.0,0.0,7.0,0.0,2.1,-0.8,1966,2,18
10.04,0,1.6,0.0,11.8,0.0,3.7,2.9,1966,2,19
11.92,0,1.4,0.0,11.7,0.0,6.0,4.8,1966,2,20
8.71,0,9.3,0.0,10.0,0.0,5.1,-0.6,1966,2,21
13.59,0,7.4,0.0,8.9,0.0,5.6,5.0,1966,2,22
17.79,0,0.7,0.0,10.6,0.0,2.3,-0.6,1966,2,23
12.0,0,2.9,0.0,12.8,0.0,1.7,-2.8,1966,2,24
21.84,0,1.5,0.0,12.8,0.0,6.0,0.9,1966,2,25
22.95,0,0.6,0.0,11.4,0.0,7.1,4.0,1966,2,26
23.63,0,0.1,0.0,14.3,0.0,3.9,1.4,1966,2,27
14.79,0,1.9,0.0,10.6,0.0,6.0,5.6,1966,2,28
9.38,0,2.7,0.0,12.2,0.0,4.6,1.1,1966,3,1
13.92,0,3.3,0.0,14.0,0.0,5.4,5.4,1966,3,2
10.46,0,0.3,0.0,12.7,0.0,5.9,1.0,1966,3,3
9.71,0,0.0,0.0,12.0,0.0,2.8,-0.6,1966,3,4
12.17,0,0.0,0.0,12.8,0.0,8.2,4.7,1966,3,6
16.04,0,0.2,0.0,12.3,0.0,8.2,5.1,1966,3,7
9.04,0,0.1,0.0,10.6,0.0,5.8,2.0,1966,3,8
16.13,0,0.0,0.0,10.8,0.0,1.8,-1.1,1966,3,9
20.62,0,2.1,0.0,10.1,0.0,3.3,1.1,1966,3,11
11.25,0,0.3,0.0,11.1,0.0,1.8,-0.4,1966,3,12
11.21,4,0.0,0.0,13.9,0.0,5.9,3.1,1966,3,13
8.63,0,0.0,0.0,13.1,0.0,4.4,2.2,1966,3,14
8.21,0,0.0,0.0,11.2,0.0,6.1,5.0,1966,3,15
6.87,0,0.0,0.0,11.1,0.0,6.7,6.1,1966,3,16
14.83,0,1.8,0.0,12.1,0.0,6.7,5.6,1966,3,17
7.21,4,0.0,0.0,13.1,1.0,-0.6,-5.0,1966,3,18
5.25,4,0.0,0.0,15.3,1.0,-2.8,-7.0,1966,3,19
8.87,0,0.2,0.0,10.4,1.0,-0.3,-5.0,1966,3,20
9.96,0,0.2,0.0,11.4,0.0,6.7,5.9,1966,3,21
13.17,0,0.2,0.0,11.3,0.0,4.0,1.9,1966,3,22
20.54,0,0.0,0.0,10.0,0.0,5.0,4.9,1966,3,23
20.83,0,1.3,0.0,8.4,0.0,0.4,-1.3,1966,3,24
10.92,0,1.7,0.0,9.8,1.0,-2.3,-4.4,1966,3,25
28.62,0,5.4,0.0,12.0,0.0,2.4,1.7,1966,3,27
14.54,0,0.2,0.0,11.3,0.0,0.0,-0.6,1966,3,28
10.92,0,0.0,0.0,10.6,0.0,3.9,-3.7,1966,3,29
13.59,0,0.2,0.0,11.6,2.0,5.5,0.1,1966,3,30
12.08,0,10.2,0.0,11.6,0.0,6.1,3.0,1966,3,31
14.42,0,17.5,0.0,10.8,0.0,3.6,1.8,1966,4,1
11.25,0,0.0,0.0,10.8,1.0,-1.1,-2.9,1966,4,2
10.58,4,0.0,0.0,10.0,1.0,-1.9,-8.7,1966,4,3
21.25,0,17.4,0.0,8.2,0.0,3.3,1.7,1966,4,4
17.37,0,5.7,0.0,10.3,0.0,3.9,3.1,1966,4,5
4.88,0,0.0,0.0,12.2,0.0,3.3,3.1,1966,4,6
9.33,4,0.0,0.0,11.1,0.0,6.7,6.1,1966,4,7
11.42,0,18.1,0.0,11.0,0.0,7.2,6.7,1966,4,8
18.63,0,6.0,0.0,12.6,0.0,7.8,7.2,1966,4,9
10.41,0,1.3,0.0,12.9,0.0,6.1,0.6,1966,4,10
14.21,0,0.2,0.0,10.2,0.0,7.1,4.0,1966,4,11
17.71,0,0.0,0.0,7.8,0.0,5.7,4.4,1966,4,12
24.71,0,0.0,0.0,5.6,0.0,3.3,3.0,1966,4,13
21.79,0,5.9,0.0,4.0,0.0,2.2,0.8,1966,4,14
20.62,0,19.0,0.0,5.1,0.0,1.6,0.2,1966,4,15
10.41,0,13.3,0.0,5.9,0.0,1.6,0.3,1966,4,16
10.71,0,1.3,0.0,6.1,0.0,4.2,3.6,1966,4,17
16.66,0,3.7,0.0,6.1,0.0,4.2,3.1,1966,4,18
11.71,0,9.9,0.0,7.1,0.0,4.3,3.3,1966,4,19
11.96,0,0.2,0.0,12.8,0.0,0.4,-2.7,1966,4,20
7.87,0,8.1,2.0,13.5,0.0,1.2,-2.9,1966,4,21
15.29,0,0.8,0.0,18.1,0.0,8.0,7.3,1966,4,22
12.96,0,5.2,0.0,15.6,0.0,8.8,7.2,1966,4,23
11.08,0,0.2,0.0,14.9,0.0,5.6,2.3,1966,4,24
9.21,4,0.0,0.0,15.3,0.0,5.4,1.7,1966,4,25
13.75,0,0.1,0.0,12.9,0.0,9.6,6.2,1966,4,26
20.88,0,0.1,0.0,14.2,0.0,9.9,6.7,1966,4,27
13.54,4,0.0,0.0,14.2,0.0,6.7,3.4,1966,4,28
13.29,4,0.0,0.0,18.1,0.0,10.1,6.7,1966,4,29
4.75,4,0.0,0.0,18.9,0.0,3.8,-0.6,1966,4,30
3.71,4,0.0,0.0,20.2,0.0,11.8,9.0,1966,7,1
4.83,0,1.3,0.0,19.8,0.0,11.2,7.0,1966,7,2
2.88,4,0.0,0.0,17.5,0.0,10.5,7.9,1966,7,3
1.46,0,7.5,0.0,19.2,0.0,11.2,8.2,1966,7,4
1.63,0,5.7,0.0,16.5,0.0,12.0,7.5,1966,7,5
6.96,0,0.2,0.0,17.0,0.0,10.2,6.0,1966,7,6
6.79,4,0.0,0.0,19.8,0.0,12.0,10.8,1966,7,7
5.83,4,0.0,0.0,20.5,0.0,14.2,13.0,1966,7,8
7.67,0,4.2,0.0,17.9,0.0,13.0,6.5,1966,7,9
7.5,0,3.4,0.0,16.4,0.0,11.7,10.6,1966,7,10
7.58,0,0.2,0.0,19.6,0.0,10.0,7.0,1966,7,11
13.79,0,0.0,0.0,20.0,0.0,14.5,14.1,1966,7,12
14.83,0,0.2,0.0,19.1,0.0,13.0,11.5,1966,7,13
10.08,0,2.0,0.0,18.0,0.0,10.5,8.0,1966,7,14
10.25,0,1.7,0.0,19.2,0.0,11.5,8.5,1966,7,15
6.17,0,0.6,0.0,18.5,0.0,11.6,9.8,1966,7,16
4.75,0,0.6,0.0,17.8,0.0,7.8,2.7,1966,7,17
1.38,0,0.0,0.0,19.6,0.0,7.0,1.5,1966,7,18
5.46,0,0.0,0.0,21.6,0.0,7.2,1.3,1966,7,19
9.38,0,0.0,0.0,22.8,0.0,11.7,8.0,1966,7,20
7.17,0,0.0,0.0,23.6,0.0,13.5,11.0,1966,7,21
7.79,0,0.3,0.0,22.6,0.0,10.0,4.5,1966,7,22
13.21,0,1.4,0.0,20.5,0.0,12.6,13.2,1966,7,23
12.46,0,1.2,0.0,17.4,0.0,13.2,12.5,1966,7,24
9.42,4,0.0,0.0,17.5,0.0,8.6,5.4,1966,7,25
10.04,0,0.8,0.0,17.0,0.0,12.0,11.0,1966,7,26
5.46,4,0.0,0.0,17.8,0.0,12.5,4.5,1966,7,27
11.21,0,3.6,0.0,18.0,0.0,12.0,11.8,1966,7,28
10.71,0,2.1,0.0,17.4,0.0,11.0,8.5,1966,7,29
13.17,0,0.1,0.0,14.5,0.0,11.5,8.5,1966,7,30
3.33,0,3.4,0.0,15.1,0.0,9.3,7.1,1966,7,31
5.41,0,0.0,0.0,18.5,0.0,8.0,5.9,1966,8,1
5.41,0,5.4,0.0,17.0,0.0,6.1,2.5,1966,8,2
7.08,0,0.2,0.0,18.4,0.0,12.0,11.5,1966,8,3
10.63,0,0.0,0.0,18.4,0.0,8.6,5.9,1966,8,4
9.5,0,0.9,0.0,18.5,0.0,9.0,6.2,1966,8,5
3.17,0,0.5,0.0,16.1,0.0,8.5,5.0,1966,8,6
5.83,4,0.0,0.0,19.1,0.0,11.1,9.5,1966,8,7
8.25,0,8.0,0.0,17.6,0.0,8.4,4.5,1966,8,8
12.79,0,1.2,0.0,17.6,0.0,8.4,3.8,1966,8,9
17.46,0,0.1,0.0,19.8,0.0,12.0,10.5,1966,8,10
6.54,0,15.6,0.0,20.0,0.0,13.6,14.4,1966,8,12
9.67,0,5.5,0.0,17.8,0.0,13.0,12.5,1966,8,13
2.88,0,2.6,0.0,16.8,0.0,9.8,6.0,1966,8,14
4.17,0,0.0,2.0,20.0,0.0,6.0,0.5,1966,8,15
8.87,0,0.0,0.0,23.0,0.0,8.8,3.7,1966,8,16
7.0,0,0.2,0.0,20.0,0.0,16.8,15.0,1966,8,17
4.63,0,0.5,0.0,21.5,0.0,12.8,7.3,1966,8,19
3.46,0,2.0,0.0,15.5,0.0,12.5,9.0,1966,8,20
8.46,0,3.6,0.0,16.6,0.0,11.7,9.0,1966,8,21
6.58,0,0.0,0.0,15.3,0.0,12.0,11.5,1966,8,22
3.21,0,0.0,0.0,15.8,0.0,5.0,0.5,1966,8,23
5.09,0,0.0,0.0,21.1,0.0,7.0,1.0,1966,8,24
6.38,0,0.0,0.0,17.1,0.0,7.5,1.1,1966,8,25
9.17,0,0.0,0.0,16.6,0.0,12.1,6.1,1966,8,26
8.17,0,0.0,0.0,17.1,0.0,14.0,6.2,1966,8,27
8.96,0,3.4,0.0,19.1,0.0,13.5,7.0,1966,8,28
10.25,0,1.4,0.0,17.5,0.0,14.5,12.4,1966,8,29
6.58,0,0.8,0.0,18.2,0.0,13.2,7.6,1966,8,30
6.13,4,0.0,0.0,19.5,0.0,13.0,9.5,1966,8,31
7.62,0,4.0,0.0,22.0,0.0,14.4,11.6,1966,9,1
12.5,0,0.3,0.0,19.8,0.0,13.4,11.0,1966,9,2
14.37,0,15.6,0.0,18.6,0.0,12.0,8.0,1966,9,3
14.67,0,0.3,0.0,19.2,0.0,14.0,13.0,1966,9,4
15.67,0,0.0,0.0,21.9,0.0,13.3,9.4,1966,9,5
16.38,0,0.0,0.0,19.0,0.0,13.9,9.4,1966,9,6
6.75,0,0.0,0.0,18.6,0.0,12.5,9.0,1966,9,7
3.83,0,0.0,0.0,17.8,0.0,7.0,1.5,1966,9,8
7.96,0,0.0,0.0,22.1,0.0,12.2,6.5,1966,9,9
11.96,0,1.2,0.0,21.2,0.0,13.9,9.3,1966,9,10
3.96,0,9.8,0.0,18.7,0.0,13.1,7.0,1966,9,11
13.04,0,5.3,0.0,18.1,0.0,13.4,9.1,1966,9,12
15.41,4,0.0,0.0,17.0,0.0,11.3,8.1,1966,9,13
18.21,0,5.2,0.0,19.0,0.0,11.0,4.0,1966,9,14
16.29,0,0.0,0.0,16.0,0.0,10.9,8.0,1966,9,15
6.13,0,0.1,0.0,16.4,0.0,4.8,0.5,1966,9,16
2.04,0,0.0,0.0,17.3,0.0,11.1,11.0,1966,9,17
1.71,0,0.1,0.0,17.7,0.0,7.0,2.7,1966,9,18
1.21,0,0.0,0.0,18.0,0.0,7.1,4.5,1966,9,19
1.71,4,0.0,0.0,19.5,0.0,6.8,0.6,1966,9,20
1.83,4,0.0,0.0,16.8,0.0,7.8,1.5,1966,9,21
2.71,4,0.0,0.0,16.5,0.0,4.6,-2.0,1966,9,22
3.63,4,0.0,0.0,15.4,0.0,12.5,5.5,1966,9,23
2.33,0,16.5,0.0,15.8,0.0,12.4,8.0,1966,9,30
4.25,0,0.9,0.0,14.6,0.0,9.1,5.0,1966,10,1
4.33,0,8.2,0.0,15.0,0.0,7.5,2.0,1966,10,2
21.29,0,13.1,0.0,10.7,0.0,9.0,2.8,1966,10,3
17.79,0,0.2,0.0,11.7,0.0,8.0,3.5,1966,10,4
7.58,0,14.9,0.0,14.3,0.0,8.5,4.5,1966,10,5
9.71,0,4.2,0.0,17.0,0.0,11.4,6.2,1966,10,6
2.0,0,9.9,0.0,14.3,0.0,7.0,-0.5,1966,10,7
4.42,0,0.0,0.0,14.6,0.0,5.8,-1.5,1966,10,8
3.79,0,3.2,0.0,13.4,0.0,5.6,-2.6,1966,10,9
2.83,0,1.5,0.0,13.5,0.0,8.6,5.8,1966,10,10
7.12,0,0.5,0.0,15.8,0.0,7.4,-1.6,1966,10,11
13.17,0,22.9,0.0,14.0,0.0,8.2,0.5,1966,10,12
4.75,0,3.2,0.0,14.0,0.0,7.8,2.9,1966,10,13
2.83,0,0.2,0.0,15.4,0.0,5.2,5.8,1966,10,14
5.79,0,0.0,0.0,12.8,0.0,8.4,-0.2,1966,10,15
5.63,0,7.0,0.0,12.8,0.0,2.4,-6.6,1966,10,16
11.96,0,26.7,0.0,13.9,0.0,4.6,0.6,1966,10,17
10.13,0,9.7,0.0,13.3,0.0,7.9,2.9,1966,10,18
5.88,0,0.3,0.0,12.7,0.0,9.5,2.4,1966,10,19
8.5,0,0.0,0.0,13.5,0.0,8.0,0.5,1966,10,20
9.67,0,0.0,0.0,13.0,0.0,8.5,-0.5,1966,10,21
5.91,0,0.9,0.0,8.3,0.0,2.8,-1.5,1966,10,22
8.12,0,0.0,0.0,10.5,0.0,1.3,-7.5,1966,10,23
7.62,0,0.0,0.0,11.2,0.0,1.5,-1.9,1966,10,24
6.0,0,0.0,0.0,12.0,0.0,3.4,0.4,1966,10,25
11.08,0,0.3,0.0,10.9,0.0,2.1,-1.8,1966,10,26
14.79,0,0.0,0.0,9.5,0.0,4.0,-3.6,1966,10,27
7.75,0,0.0,0.0,9.8,0.0,5.1,-2.0,1966,10,28
5.46,0,0.0,0.0,10.6,0.0,3.5,-6.4,1966,10,30
9.92,0,0.1,0.0,10.5,0.0,4.6,3.2,1966,10,31
18.58,0,2.2,0.0,8.8,0.0,2.6,-5.0,1966,11,1
13.79,0,0.6,0.0,8.2,2.0,4.0,-1.0,1966,11,2
5.17,0,1.2,0.0,7.8,1.0,-0.5,-8.0,1966,11,3
5.63,0,2.9,0.0,8.6,0.0,0.4,-3.8,1966,11,4
19.87,0,1.3,0.0,9.2,0.0,6.0,1.0,1966,11,6
6.17,0,0.0,0.0,10.0,0.0,7.2,0.5,1966,11,7
7.38,0,0.0,0.0,9.6,0.0,3.2,-1.5,1966,11,8
8.71,0,0.0,0.0,9.3,0.0,0.7,-8.7,1966,11,9
6.75,0,2.4,2.0,9.0,0.0,1.2,-8.3,1966,11,10
7.96,4,0.0,0.0,11.3,0.0,0.1,-9.7,1966,11,11
11.17,0,0.3,0.0,11.8,0.0,8.9,2.5,1966,11,12
11.42,0,2.4,0.0,12.4,0.0,10.4,4.0,1966,11,13
12.12,0,0.1,0.0,11.4,0.0,3.5,-5.0,1966,11,14
23.09,0,4.5,0.0,11.2,0.0,5.5,4.5,1966,11,15
21.87,0,0.3,0.0,6.9,0.0,4.8,3.0,1966,11,16
13.92,0,0.0,0.0,7.9,0.0,2.4,-5.4,1966,11,17
8.42,0,2.1,0.0,7.6,0.0,3.0,-6.1,1966,11,18
2.92,0,0.0,0.0,8.6,0.0,2.8,-6.9,1966,11,19
8.17,4,0.0,0.0,6.8,0.0,0.2,-5.0,1966,11,22
5.33,0,1.3,0.0,5.4,1.0,-1.8,-11.6,1966,11,23
7.96,0,0.1,0.0,7.2,1.0,-1.4,-9.5,1966,11,24
12.12,0,0.6,0.0,10.0,0.0,1.2,-2.8,1966,11,25
14.79,0,0.1,0.0,10.6,0.0,5.6,-3.0,1966,11,26
16.75,0,2.4,0.0,9.8,0.0,2.5,-1.0,1966,11,27
15.37,0,0.0,0.0,8.5,0.0,1.8,-5.0,1966,11,28
19.38,0,4.7,0.0,9.1,0.0,0.7,-6.8,1966,11,29
21.75,0,3.4,0.0,9.5,0.0,2.9,-3.6,1966,11,30
30.37,0,4.7,0.0,8.5,0.0,3.1,-3.4,1966,12,1
28.16,0,0.0,0.0,7.0,0.0,3.2,-2.8,1966,12,2
14.5,0,0.0,0.0,6.3,0.0,0.3,-7.0,1966,12,3
11.75,0,0.0,0.0,9.9,1.0,-1.1,-9.5,1966,12,4
14.96,0,0.2,0.0,11.5,0.0,1.8,-7.4,1966,12,5
12.21,0,0.0,0.0,8.5,0.0,3.5,-5.5,1966,12,6
15.09,0,2.9,0.0,11.5,0.0,1.2,-7.9,1966,12,7
25.12,0,0.1,0.0,7.9,0.0,2.0,0.9,1966,12,8
23.75,0,22.5,0.0,10.5,0.0,2.5,-4.5,1966,12,9
14.58,0,0.2,0.0,10.0,2.0,5.1,0.4,1966,12,10
11.21,0,4.7,0.0,9.0,0.0,0.5,-7.7,1966,12,11
20.04,0,17.3,0.0,7.4,2.0,1.0,-0.6,1966,12,12
13.33,0,2.6,0.0,5.6,0.0,4.8,0.4,1966,12,13
9.87,0,7.7,0.0,11.2,0.0,0.5,-8.0,1966,12,14
14.25,4,0.0,0.0,9.8,0.0,2.2,-6.8,1966,12,16
26.0,0,1.4,0.0,12.5,0.0,2.5,1.3,1966,12,17
18.5,0,0.3,0.0,10.6,0.0,7.2,0.0,1966,12,18
23.04,0,0.9,0.0,11.5,0.0,7.2,2.2,1966,12,19
12.58,0,0.0,0.0,9.8,0.0,2.2,-6.8,1966,12,20
17.16,0,0.1,0.0,10.4,0.0,2.4,-4.7,1966,12,21
17.37,0,0.3,0.0,10.7,0.0,6.1,1.6,1966,12,22
16.88,0,9.9,0.0,9.5,0.0,8.7,3.1,1966,12,23
10.67,0,0.0,0.0,8.5,0.0,3.8,-0.6,1966,12,24
4.96,0,0.1,0.0,9.6,1.0,-2.1,-11.9,1966,12,25
10.41,0,5.7,0.0,10.6,1.0,-1.8,-3.2,1966,12,26
9.67,0,0.0,2.0,9.0,0.0,4.3,-2.9,1966,12,27
9.62,0,1.2,0.0,12.5,2.0,4.0,-1.5,1966,12,28
16.5,0,3.3,0.0,11.0,0.0,8.2,1.5,1966,12,29
5.25,0,3.6,0.0,9.4,0.0,2.6,-5.6,1966,12,30
